A0198,CARLOS,HERREJÓN PEREDO (COORDINADOR)    ,1,2023-09-10
A0199,CARLOS,MARTÍNEZ ASSAD     ,1,2023-09-10
A0200,CARLOS,MONSIVÁIS      ,1,2023-09-10
A0201,CARLOS,MONTEMAYOR      ,1,2023-09-10
A0202,CARLOS,OCAMPO      ,1,2023-09-10
A0203,CARLOS,PASCUAL      ,1,2023-09-10
A0204,CARLOS,PELLICER      ,1,2023-09-10
A0205,CARLOS,RODRIGUEZ C. E IRMA RODRIGUEZ J. ,1,2023-09-10
A0206,CARLOS,SILVA      ,1,2023-09-10
A0207,CARLOS,SOLÓRZANO      ,1,2023-09-10
A0208,CARLOS,STRASSER      ,1,2023-09-10
A0209,CARLOS,VADILLO BUENFIL     ,1,2023-09-10
A0210,CARLOS,VIESCA TREVIÑO (COORDINADOR)    ,1,2023-09-10
A0211,CARLOS,VIESCA TREVIÑO(COORDINADOR)     ,1,2023-09-10
A0212,CARMEN,DE LA PEZA    ,1,2023-09-10
A0213,CARMEN,GIL      ,1,2023-09-10
A0214,CARMEN,LEÑERO Y MARCOS CASTRO   ,1,2023-09-10
A0215,CARMEN,SAUCEDO ZARCO     ,1,2023-09-10
A0216,CATALINA,KÜHNE PEIMBERT     ,1,2023-09-10
A0217,CATALINA,KÜHNE PEIMBERT Y JUAN GEDOVIUS  ,1,2023-09-10
A0218,CATALINA,NAUMIS PEÑA     ,1,2023-09-10
A0219,CECILIA,RABELL ROMERO     ,1,2023-09-10
A0220,CENTRO,DE ESTUDIOS HISTÓRICOS    ,1,2023-09-10
A0221,CENTRO,DE INVESTIGACIONES BIOLÓGICAS DEL NOROESTE  ,1,2023-09-10
A0222,CESAR,.,1,2023-09-10
A0223,CÉSAR,CARRILLO TRUEBA     ,1,2023-09-10
A0224,CÉSAR,DANIEL GONZÁLEZ     ,1,2023-09-10
A0225,CÉSAR,DANIEL GONZÁLEZ MADRUGA Y WITZIN ADRIANA ,1,2023-09-10
A0226,CÉSAR,G. MADRUGA (COMPILADOR)    ,1,2023-09-10
A0227,CÉSAR,LÓPEZ      ,1,2023-09-10
A0228,CÉSAR,TEJEDA      ,1,2023-09-10
A0229,CÉSAR,VALLEJO      ,1,2023-09-10
A0230,CHARLES,BAUDELAIRE      ,1,2023-09-10
A0231,CHARLES,DICKENS      ,1,2023-09-10
A0232,CHARLES,PERRAULT      ,1,2023-09-10
A0233,CHIARA,LOSSANI      ,1,2023-09-10
A0234,CHRISTIANE,CAZENAVE-TAPIE      ,1,2023-09-10
A0235,CHRISTINE,NAUMANN - VILLEMIN    ,1,2023-09-10
A0236,CHRISTINE,NÖSTLINGER      ,1,2023-09-10
A0237,CHRISTOPHER,DOMÍNGUEZ MICHAEL     ,1,2023-09-10
A0238,CIRO,ALEGRÍA      ,1,2023-09-10
A0239,CLAUDIA,BURR      ,1,2023-09-10
A0240,CLAUDIA,LILIANA PADRÓN MARTÍNEZ    ,1,2023-09-10
A0241,CLAUDIA,OVANDO      ,1,2023-09-10
A0242,CLAUDIO,GALLICO      ,1,2023-09-10
A0243,CLAUDIO,RODRÍGUEZ      ,1,2023-09-10
A0244,CLIVE,CUSSIER      ,1,2023-09-10
A0245,CNG,.,1,2023-09-10
A0246,COMISIÓN,NACIONAL DE CULTURA FÍSICA Y DEPORTE ,1,2023-09-10
A0247,COMISIÓN,NACIONAL DE DERECHOS HUMANOS   ,1,2023-09-10
A0248,CONACULTA,.,1,2023-09-10
A0249,CONACULTURA,.,1,2023-09-10
A0250,CONAFE,.,1,2023-09-10
A0251,CONAPO,.,1,2023-09-10
A0252,CONCHA,URQUIZA      ,1,2023-09-10
A0253,CONOCIMIENTO,Y SABER     ,1,2023-09-10
A0254,CONRADO,TOSTADO      ,1,2023-09-10
A0255,CORINA,ARMELIA DE FERNÁNDEZ CASTELLÓ   ,1,2023-09-10
A0256,CRISTIAN,CANTON FERRER Y RAQUEL TOVAR ABAD ,1,2023-09-10
A0257,CRISTINA,FLORES VELA     ,1,2023-09-10
A0258,CRISTINA,GUDIÑO KIEFFER     ,1,2023-09-10
A0259,CRISTINA,JÁUREGUI      ,1,2023-09-10
A0260,CRISTINA,JÁUREGUI Y ODETE RODRIGUEZ   ,1,2023-09-10
A0261,CRISTINA,PACHECHO      ,1,2023-09-10
A0262,CRISTINA,RASCÓN CASTRO     ,1,2023-09-10
A0263,CRISTINA,RIVERA GARZA     ,1,2023-09-10
A0264,CUAUHTÉMOC,ANDA GUTIÉRREZ     ,1,2023-09-10
A0265,CYRANO,DE BERGERAC     ,1,2023-09-10
A0266,D.,HERMÓGENES GIL MARTÍNEZ    ,1,2023-09-10
A0267,D.C.,CHURCH- W.G. POND- K.R POND  ,1,2023-09-10
A0268,DAFNE,CRUZ PORCHINI     ,1,2023-09-10
A0269,DAGMAR,GEISLER      ,1,2023-09-10
A0270,DANIEL,COHEN      ,1,2023-09-10
A0271,DANIEL,EMIL      ,1,2023-09-10
A0272,DANIEL,PENNAC      ,1,2023-09-10
A0273,DANIEL,PUIBOUBE      ,1,2023-09-10
A0274,DANIELA,VÁZQUEZ CORRAL     ,1,2023-09-10
A0275,DANTE,GOETHE      ,1,2023-09-10
A0276,DAPHNE,DU MAURIER     ,1,2023-09-10
A0277,DARÍO,JARAMILLO AGUDELO Y JUAN CAMILO MAYORGA ,1,2023-09-10
A0278,DARÍO,ROLDÁN (COMPILADOR)     ,1,2023-09-10
A0279,DAVID,ARBOLEDAS BRIHUEGA     ,1,2023-09-10
A0280,DAVID,LAROCHELLE      ,1,2023-09-10
A0281,DAVID,MACAULAY      ,1,2023-09-10
A0282,DAVID,MARTÍN DEL CAMPO    ,1,2023-09-10
A0283,DAVID,MIKLOS      ,1,2023-09-10
A0284,DAVID,NAHÓN VÁZQUEZ     ,1,2023-09-10
A0285,DAVID,OLGUÍN      ,1,2023-09-10
A0286,DEBORAH,BARRY      ,1,2023-09-10
A0287,DEBORAH,HODGE      ,1,2023-09-10
A0288,DÉBORAH,HOLIZ Y JUAN CARLOS MENA  ,1,2023-09-10
A0289,DELFINA,LÓPEZ SARRELANGUE     ,1,2023-09-10
A0290,DENIS,DE ROUGEMONT     ,1,2023-09-10
A0291,DENISE,FALLENA MONTAÑO- FERNANDA SALAZAR GIL  ,1,2023-09-10
